,sdg,relevance,fos_ids,fos_names,publication
2,SDG_14,3.0,"202041845, 2779042980","Fisheries management, Ecosystem-based management",https://marineinfo.org/id/publication/253633
0,SDG_9,1.0,157764524,Throughput,https://marineinfo.org/id/publication/317553
1,SDG_14,1.0,2776048852,Ocean Biogeographic Information System,https://marineinfo.org/id/publication/317553
2,SDG_15,1.0,187604713,Global biodiversity,https://marineinfo.org/id/publication/317553
0,SDG_2,3.0,"2992957956, 2777743550","Marine fish, Squid",https://marineinfo.org/id/publication/253073
1,SDG_14,3.0,"2992957956, 2777743550","Marine fish, Squid",https://marineinfo.org/id/publication/253073
2,SDG_15,2.0,53565203,Species richness,https://marineinfo.org/id/publication/253073
0,SDG_3,2.0,"42407357, 186079640","Physiology, Prevalence",https://marineinfo.org/id/publication/302583
1,SDG_14,2.0,"2777981335, 149348798","Seabird, Upwelling",https://marineinfo.org/id/publication/302583
2,SDG_2,1.0,2777981335,Seabird,https://marineinfo.org/id/publication/302583
0,SDG_11,3.0,"2778473898, 46312422","Repertoire, Communication",https://marineinfo.org/id/publication/292836
1,SDG_3,2.0,2777343278,Annelid,https://marineinfo.org/id/publication/292836
0,SDG_14,7.0,"21790881, 33613203","Deep sea, Seabed",https://marineinfo.org/id/publication/317539
1,SDG_7,2.0,61980418,Location,https://marineinfo.org/id/publication/317539
2,SDG_15,2.0,187604713,Global biodiversity,https://marineinfo.org/id/publication/317539
0,SDG_14,3.0,2778902744,Diatom,https://marineinfo.org/id/publication/317573
1,SDG_10,1.0,77357849,Origin,https://marineinfo.org/id/publication/317573
0,SDG_13,1.0,108469399,Plankton,https://marineinfo.org/id/publication/317194
1,SDG_14,1.0,108469399,Plankton,https://marineinfo.org/id/publication/317194
0,SDG_2,2.0,"60359462, 149340888","Extinction, Bycatch",https://marineinfo.org/id/publication/317545
1,SDG_14,1.0,149340888,Bycatch,https://marineinfo.org/id/publication/317545
2,SDG_15,1.0,60359462,Extinction,https://marineinfo.org/id/publication/317545
0,SDG_3,4.0,"143753070, 544821477, 74864618","Ultrasound, Weight loss, Staining",https://marineinfo.org/id/publication/290472
1,SDG_6,2.0,17538187,Tap water,https://marineinfo.org/id/publication/290472
2,SDG_14,2.0,13474642,Invertebrate,https://marineinfo.org/id/publication/290472
0,SDG_14,7.0,"2993244835, 2988134249, 514101110, 2778391067, 21790881","Marine biodiversity, Deep water, Fishing, Trawling, Deep sea",https://marineinfo.org/id/publication/109244
1,SDG_2,3.0,"514101110, 2778391067","Fishing, Trawling",https://marineinfo.org/id/publication/109244
2,SDG_1,2.0,186191158,Vulnerability,https://marineinfo.org/id/publication/109244
0,SDG_15,8.0,"24518262, 2992867484, 155461473, 38838508, 132124917, 179345059","Threatened species, Habitat suitability, Critically endangered, Local extinction, Species distribution, Endangered species",https://marineinfo.org/id/publication/253028
1,SDG_2,4.0,"130217890, 38838508, 149340888, 24061886","Biodiversity, Local extinction, Bycatch, Overfishing",https://marineinfo.org/id/publication/253028
2,SDG_14,4.0,"130217890, 149340888, 2983223943, 24061886","Biodiversity, Bycatch, North sea, Overfishing",https://marineinfo.org/id/publication/253028
0,SDG_1,1.0,186191158,Vulnerability,https://marineinfo.org/id/publication/252474
1,SDG_2,1.0,72958200,Trophic level,https://marineinfo.org/id/publication/252474
2,SDG_3,1.0,186191158,Vulnerability,https://marineinfo.org/id/publication/252474
0,SDG_7,3.0,188573790,Renewable energy,https://marineinfo.org/id/publication/254389
0,SDG_2,3.0,"505870484, 130217890, 3019955603","Fishery, Biodiversity, Fish species",https://marineinfo.org/id/publication/289101
1,SDG_14,3.0,"505870484, 130217890, 3019955603","Fishery, Biodiversity, Fish species",https://marineinfo.org/id/publication/289101
2,SDG_3,1.0,130217890,Biodiversity,https://marineinfo.org/id/publication/289101
0,SDG_14,10.0,"186699998, 151152651, 2993244835, 514101110, 21790881","Eutrophication, Marine ecosystem, Marine biodiversity, Fishing, Deep sea",https://marineinfo.org/id/publication/253319
